mag_ll,mag_ss,delay_ll
16,15,7
17,15,7
20,15,7
22,15,7
25,15,7
26,25,7
28,25,7
30,25,7
32,25,7
35,25,7
46,45,7
48,45,7
50,45,7
52,45,7
55,45,7
16,15,15
19,15,15
21,15,15
23,15,15
30,15,15
26,25,15
29,25,15
31,25,15
33,25,15
40,25,15
46,45,15
49,45,15
53,45,15
57,45,15
65,45,15
16,15,30
20,15,30
23,15,30
26,15,30
32,15,30
26,25,30
30,25,30
33,25,30
36,25,30
42,25,30
47,45,30
50,45,30
55,45,30
60,45,30
70,45,30
16,15,45
21,15,45
24,15,45
27,15,45
35,15,45
26,25,45
33,25,45
37,25,45
41,25,45
50,25,45
47,45,45
52,45,45
57,45,45
62,45,45
75,45,45
17,15,60
25,15,60
30,15,60
35,15,60
43,15,60
27,25,60
35,25,60
40,25,60
45,25,60
53,25,60
48,45,60
55,45,60
60,45,60
65,45,60
80,45,60
17,15,75
28,15,75
33,15,75
38,15,75
46,15,75
27,25,75
38,25,75
43,25,75
48,25,75
58,25,75
48,45,75
58,45,75
63,45,75
68,45,75
83,45,75
17,15,90
28,15,90
33,15,90
38,15,90
46,15,90
27,25,90
38,25,90
43,25,90
48,25,90
58,25,90
48,45,90
58,45,90
63,45,90
68,45,90
83,45,90
17,15,120
28,15,120
33,15,120
38,15,120
47,15,120
27,25,120
38,25,120
43,25,120
48,25,120
60,25,120
48,45,120
58,45,120
63,45,120
68,45,120
85,45,120
17,15,150
28,15,150
33,15,150
38,15,150
48,15,150
27,25,150
38,25,150
43,25,150
48,25,150
60,25,150
48,45,150
58,45,150
63,45,150
68,45,150
85,45,150
20,15,180
30,15,180
35,15,180
40,15,180
60,15,180
30,25,180
40,25,180
45,25,180
50,25,180
65,25,180
50,45,180
60,45,180
65,45,180
70,45,180
90,45,180
20,15,250
33,15,250
38,15,250
53,15,250
65,15,250
30,25,250
43,25,250
48,25,250
53,25,250
70,25,250
50,45,250
63,45,250
68,45,250
73,45,250
95,45,250
17,15,270
28,15,270
33,15,270
38,15,270
47,15,270
27,25,270
38,25,270
43,25,270
48,25,270
60,25,270
48,45,270
58,45,270
63,45,270
68,45,270
85,45,270
22,15,365
35,15,365
40,15,365
45,15,365
75,15,365
32,25,365
45,25,365
50,25,365
65,25,365
80,25,365
52,45,365
65,45,365
70,45,365
75,45,365
100,45,365
25,15,700
45,15,700
50,15,700
55,15,700
90,15,700
35,25,700
60,25,700
65,25,700
70,25,700
100,25,700
55,45,700
80,45,700
85,45,700
90,45,700
150,45,700
25,15,1000
60,15,1000
70,15,1000
80,15,1000
150,15,1000
35,25,1000
80,25,1000
100,25,1000
120,25,1000
175,25,1000
55,45,1000
100,45,1000
125,45,1000
150,45,1000
225,45,1000
